Individuals:
   {'genotype': [7, 4, 2, 8, 6, 1, 3, 5], 'fitness': 1.0}
   {'genotype': [5, 2, 1, 4, 6, 8, 3, 7], 'fitness': 0.3333333333333333}
   {'genotype': [5, 2, 4, 7, 3, 1, 6, 8], 'fitness': 0.3333333333333333}
   {'genotype': [5, 1, 3, 7, 2, 8, 6, 4], 'fitness': 0.3333333333333333}
   {'genotype': [2, 5, 1, 6, 7, 3, 4, 8], 'fitness': 0.3333333333333333}
   {'genotype': [6, 3, 2, 7, 5, 8, 4, 1], 'fitness': 0.3333333333333333}
   {'genotype': [2, 6, 1, 3, 7, 4, 8, 5], 'fitness': 0.3333333333333333}
   {'genotype': [1, 8, 6, 5, 3, 2, 4, 7], 'fitness': 0.3333333333333333}
   {'genotype': [6, 1, 3, 5, 7, 4, 2, 8], 'fitness': 0.3333333333333333}
   {'genotype': [3, 1, 5, 8, 2, 7, 4, 6], 'fitness': 0.3333333333333333}
   {'genotype': [7, 3, 6, 2, 1, 8, 4, 5], 'fitness': 0.3333333333333333}
   {'genotype': [6, 4, 7, 8, 3, 5, 2, 1], 'fitness': 0.3333333333333333}
   {'genotype': [6, 1, 3, 5, 7, 4, 2, 8], 'fitness': 0.3333333333333333}
   {'genotype': [6, 1, 5, 7, 2, 4, 3, 8], 'fitness': 0.3333333333333333}
   {'genotype': [1, 5, 7, 3, 8, 2, 4, 6], 'fitness': 0.3333333333333333}
   {'genotype': [2, 6, 3, 8, 5, 1, 4, 7], 'fitness': 0.3333333333333333}
   {'genotype': [6, 3, 2, 8, 7, 4, 1, 5], 'fitness': 0.3333333333333333}
   {'genotype': [6, 8, 3, 7, 2, 5, 1, 4], 'fitness': 0.3333333333333333}
   {'genotype': [6, 1, 3, 5, 7, 4, 2, 8], 'fitness': 0.3333333333333333}
   {'genotype': [7, 3, 6, 8, 2, 4, 1, 5], 'fitness': 0.3333333333333333}
   {'genotype': [2, 6, 3, 8, 5, 1, 4, 7], 'fitness': 0.3333333333333333}
   {'genotype': [6, 3, 2, 8, 7, 4, 1, 5], 'fitness': 0.3333333333333333}
   {'genotype': [1, 3, 5, 7, 2, 6, 8, 4], 'fitness': 0.25}
   {'genotype': [2, 7, 1, 8, 5, 6, 4, 3], 'fitness': 0.25}
   {'genotype': [7, 1, 3, 8, 2, 5, 4, 6], 'fitness': 0.25}
   {'genotype': [7, 3, 8, 2, 4, 1, 5, 6], 'fitness': 0.25}
   {'genotype': [6, 8, 1, 2, 4, 7, 5, 3], 'fitness': 0.25}
   {'genotype': [2, 8, 1, 3, 5, 6, 4, 7], 'fitness': 0.25}
   {'genotype': [3, 2, 4, 6, 8, 5, 1, 7], 'fitness': 0.25}
   {'genotype': [7, 5, 6, 1, 2, 4, 8, 3], 'fitness': 0.25}
   {'genotype': [6, 4, 7, 1, 2, 8, 5, 3], 'fitness': 0.25}
   {'genotype': [6, 1, 5, 8, 7, 4, 2, 3], 'fitness': 0.25}
   {'genotype': [8, 1, 4, 2, 5, 6, 3, 7], 'fitness': 0.25}
   {'genotype': [6, 8, 2, 7, 3, 5, 1, 4], 'fitness': 0.25}
   {'genotype': [2, 6, 3, 7, 8, 5, 1, 4], 'fitness': 0.25}
   {'genotype': [5, 1, 6, 8, 2, 7, 3, 4], 'fitness': 0.25}
   {'genotype': [7, 4, 1, 2, 5, 8, 6, 3], 'fitness': 0.25}
   {'genotype': [3, 6, 4, 2, 5, 7, 8, 1], 'fitness': 0.25}
   {'genotype': [2, 7, 5, 3, 6, 1, 4, 8], 'fitness': 0.25}
   {'genotype': [6, 1, 8, 2, 7, 4, 3, 5], 'fitness': 0.25}
   {'genotype': [8, 4, 5, 7, 1, 3, 6, 2], 'fitness': 0.25}
   {'genotype': [6, 3, 8, 1, 5, 4, 2, 7], 'fitness': 0.25}
   {'genotype': [7, 6, 4, 1, 8, 2, 5, 3], 'fitness': 0.25}
   {'genotype': [3, 4, 1, 8, 6, 5, 7, 2], 'fitness': 0.25}
   {'genotype': [6, 8, 1, 2, 4, 7, 5, 3], 'fitness': 0.25}
   {'genotype': [5, 2, 1, 4, 7, 8, 6, 3], 'fitness': 0.25}
   {'genotype': [5, 6, 4, 1, 7, 3, 8, 2], 'fitness': 0.25}
   {'genotype': [2, 8, 5, 1, 3, 7, 6, 4], 'fitness': 0.25}
   {'genotype': [5, 2, 7, 4, 1, 8, 6, 3], 'fitness': 0.25}
   {'genotype': [6, 1, 3, 2, 5, 7, 8, 4], 'fitness': 0.25}
   {'genotype': [3, 2, 4, 6, 8, 5, 1, 7], 'fitness': 0.25}
   {'genotype': [6, 8, 2, 7, 3, 5, 1, 4], 'fitness': 0.25}
   {'genotype': [1, 3, 5, 7, 2, 6, 8, 4], 'fitness': 0.25}
   {'genotype': [7, 4, 2, 5, 1, 3, 6, 8], 'fitness': 0.25}
   {'genotype': [2, 4, 7, 8, 6, 1, 3, 5], 'fitness': 0.25}
   {'genotype': [7, 4, 1, 5, 6, 3, 2, 8], 'fitness': 0.2}
   {'genotype': [2, 8, 5, 1, 3, 4, 6, 7], 'fitness': 0.2}
   {'genotype': [4, 6, 1, 3, 8, 5, 2, 7], 'fitness': 0.2}
   {'genotype': [3, 1, 8, 7, 2, 6, 5, 4], 'fitness': 0.2}
   {'genotype': [4, 5, 1, 8, 2, 6, 7, 3], 'fitness': 0.2}
   {'genotype': [2, 8, 5, 4, 7, 3, 1, 6], 'fitness': 0.2}
   {'genotype': [6, 4, 1, 3, 7, 8, 2, 5], 'fitness': 0.2}
   {'genotype': [2, 1, 6, 4, 7, 5, 8, 3], 'fitness': 0.2}
   {'genotype': [3, 1, 8, 2, 6, 5, 7, 4], 'fitness': 0.2}
   {'genotype': [5, 7, 1, 3, 8, 4, 6, 2], 'fitness': 0.2}
   {'genotype': [1, 5, 7, 2, 4, 6, 3, 8], 'fitness': 0.2}
   {'genotype': [1, 3, 2, 4, 7, 5, 8, 6], 'fitness': 0.2}
   {'genotype': [1, 3, 6, 4, 2, 5, 8, 7], 'fitness': 0.2}
   {'genotype': [4, 5, 3, 1, 6, 8, 7, 2], 'fitness': 0.2}
   {'genotype': [2, 5, 1, 4, 8, 7, 3, 6], 'fitness': 0.2}
   {'genotype': [1, 3, 6, 7, 4, 8, 2, 5], 'fitness': 0.2}
   {'genotype': [2, 8, 5, 3, 4, 6, 1, 7], 'fitness': 0.2}
   {'genotype': [1, 5, 7, 2, 4, 6, 3, 8], 'fitness': 0.2}
   {'genotype': [5, 1, 2, 3, 6, 4, 7, 8], 'fitness': 0.2}
   {'genotype': [7, 4, 1, 5, 6, 3, 2, 8], 'fitness': 0.2}
   {'genotype': [7, 3, 4, 8, 5, 2, 1, 6], 'fitness': 0.2}
   {'genotype': [7, 5, 3, 8, 4, 6, 1, 2], 'fitness': 0.2}
   {'genotype': [7, 2, 6, 3, 8, 1, 4, 5], 'fitness': 0.2}
   {'genotype': [7, 4, 1, 5, 6, 3, 2, 8], 'fitness': 0.2}
   {'genotype': [2, 6, 8, 7, 4, 1, 5, 3], 'fitness': 0.2}
   {'genotype': [1, 3, 7, 5, 8, 4, 6, 2], 'fitness': 0.16666666666666666}
   {'genotype': [3, 1, 6, 5, 7, 2, 8, 4], 'fitness': 0.16666666666666666}
   {'genotype': [7, 8, 2, 5, 6, 4, 1, 3], 'fitness': 0.16666666666666666}
   {'genotype': [1, 2, 7, 5, 3, 4, 6, 8], 'fitness': 0.16666666666666666}
   {'genotype': [5, 6, 7, 3, 8, 1, 2, 4], 'fitness': 0.16666666666666666}
   {'genotype': [3, 4, 5, 8, 2, 1, 6, 7], 'fitness': 0.16666666666666666}
   {'genotype': [5, 4, 7, 2, 3, 1, 6, 8], 'fitness': 0.16666666666666666}
   {'genotype': [2, 5, 7, 8, 6, 3, 4, 1], 'fitness': 0.16666666666666666}
   {'genotype': [2, 5, 3, 7, 8, 1, 4, 6], 'fitness': 0.16666666666666666}
   {'genotype': [1, 4, 7, 3, 2, 8, 6, 5], 'fitness': 0.16666666666666666}
   {'genotype': [6, 3, 2, 4, 5, 7, 8, 1], 'fitness': 0.16666666666666666}
   {'genotype': [8, 2, 7, 3, 5, 4, 1, 6], 'fitness': 0.16666666666666666}
   {'genotype': [2, 4, 5, 8, 7, 3, 1, 6], 'fitness': 0.16666666666666666}
   {'genotype': [1, 4, 2, 8, 7, 6, 3, 5], 'fitness': 0.16666666666666666}
   {'genotype': [3, 6, 2, 1, 4, 8, 7, 5], 'fitness': 0.16666666666666666}
   {'genotype': [1, 8, 6, 2, 7, 4, 5, 3], 'fitness': 0.16666666666666666}
   {'genotype': [7, 8, 4, 5, 2, 6, 3, 1], 'fitness': 0.16666666666666666}
   {'genotype': [6, 7, 1, 3, 8, 4, 2, 5], 'fitness': 0.16666666666666666}
   {'genotype': [8, 4, 5, 7, 3, 2, 6, 1], 'fitness': 0.16666666666666666}
   {'genotype': [4, 5, 1, 7, 6, 2, 3, 8], 'fitness': 0.16666666666666666}
Fitness Mean: 0.24583333333333332
Fitness STD: 0.0957683500949568
